"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-0.286103723060406,0.219065607629316,1.30601843966546,0.1915463
"psi(CLT_1km)",0.363101769344807,0.202423838263237,1.79376980725274,0.0728499
"psi(CR_CL_MN)",-1.08098174107903,0.153805547118602,7.02823637593166,0
"psi(WET_1km)",0.490764836404982,0.168247162383292,2.91692786643823,0.003535
"psi(HRB_1km)",0.862298435310524,0.320831840614033,2.68769593959312,0.0071947
"psi(WAT_100m)",0.270683810154014,0.102669582482958,2.63645574090987,0.0083777
"psi(SHDI_100)",0.283821240787968,0.13055727722868,2.17392126132377,0.029711
"psi(WET_100m)",0.273130510488732,0.0977843143065875,2.7931934935124,0.005219
"psi(CLT_100m)",0.521337029019012,0.245134204316031,2.12674127004689,0.0334416
"psi(RUR_100m)",0.179568756546719,0.109102248298217,1.64587585817564,0.0997893
"psi(nr_urb)",0.199957604713917,0.288369364201453,0.693407932800475,0.4880536
"psi(WAT_1km)",0.0493611396645236,0.0821269889977899,0.601034328262685,0.5478171
"p(Int)",-12.4144521829124,194.404379076261,0.0638589122421076,0.9490826
"p(COUNT_TYPEtravelling)",0.460131134163764,0.149109800779974,3.08585439559893,0.0020297
"p(DAY)",0.0441873653125243,0.00216232193885281,20.4351463667651,0
"p(EFFORT_HRS)",0.405186931654506,0.152906651146064,2.64989736298293,0.0080516
"p(EFFORT_DISTANCE_KM)",-0.00950952566409192,0.0545745678905555,0.174248299742152,0.8616703
"p(TIME)",0.00571577848979417,0.0144116978100794,0.39660687901717,0.6916574
"p(NUMBER_OBSERVERS)",5.46337760995604,194.404196673711,0.0281031876031247,0.9775799
"psi(PAR_1k)",-0.0393466063250943,0.0899759622495411,0.437301311832261,0.6618928
"psi(RHU1KM)",-0.0451903812428073,0.0899306953857952,0.502502299675816,0.6153142
"psi(RLU1KM)",0.0175048159627247,0.0447373139474595,0.391279994665813,0.6955903
"psi(SAV_1km)",-0.0201920748987862,0.0742324690889971,0.272011360346615,0.7856133
