"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-1.6159036374743,0.209757777829189,7.70366493294078,0
"psi(SHR_1km)",0.903645370451365,0.226943056730569,3.98181545392767,6.84e-05
"psi(RUR_1km)",0.450601666285266,0.142861761239642,3.15410969580173,0.0016099
"psi(HRB_1km)",0.645007888853111,0.251961254539189,2.559948711292,0.0104688
"psi(nr_fw)",0.244814279823825,0.145948508313567,1.67740172649005,0.093464
"psi(WAT_1km)",-0.218082740844037,0.19122564335981,1.14044715453614,0.2541001
"psi(RLU1KM)",-0.0457149915898729,0.0915785842835985,0.499188668917437,0.6176465
"psi(SAV_1km)",0.115201102318655,0.153142947526295,0.752245559978363,0.4519034
"psi(PAR_1k)",0.137393519099737,0.160420381260048,0.856459248011739,0.3917438
"p(Int)",-6.75992026595918,273.681906674857,0.0246999165859737,0.9802943
"p(TIME)",-0.172993068855056,0.0344326362729066,5.02410177030726,5e-07
"p(DAY)",0.00975070428501322,0.00407345176901503,2.39372032318698,0.0166785
"p(COUNT_TYPEtravelling)",-0.266783256158938,0.320497221649941,0.832404271043351,0.4051808
"p(EFFORT_HRS)",0.48669592967948,0.318080932580396,1.53010092661391,0.1259917
"p(EFFORT_DISTANCE_KM)",-0.114432805138991,0.122100932512402,0.937198453643001,0.3486565
"p(NUMBER_OBSERVERS)",6.17569374843475,273.681236225394,0.0225652800813449,0.981997
"psi(FOR1_1km)",0.148103504803092,0.237182545226189,0.624428347633479,0.5323463
"psi(BAR_100m)",0.0407462010077444,0.0874982102675684,0.46568039372626,0.6414443
